cor_char,IS_cor_r,IS_cor_p,IS_CI_left,IS_CI_right,IS_adj.p,cor_char,IR_cor_r,IR_cor_p,IR_CI_left,IR_CI_right,IR_adj.p,Sig_num
phylum_Actinobacteria vs phylum_Bacteroidetes,-0.316361775,3.68E-05,-0.448670395,-0.17048273,0.00052065,phylum_Actinobacteria vs phylum_Bacteroidetes,-0.388221242,7.73E-07,-0.516356644,-0.243083633,1.82E-05,2
phylum_Actinobacteria vs phylum_Firmicutes,0.226491621,0.003541891,0.074912404,0.36784062,0.023251764,phylum_Actinobacteria vs phylum_Firmicutes,0.127081466,0.118721041,-0.033869863,0.281607694,0.301216749,1
phylum_Actinobacteria vs phylum_Proteobacteria,-0.290671804,0.000159495,-0.425783528,-0.142880281,0.0017739,phylum_Actinobacteria vs phylum_Proteobacteria,-0.308013624,0.000113209,-0.44624717,-0.155424265,0.001569231,2
phylum_Actinobacteria vs phylum_Verrucomicrobia,-0.410731593,4.69E-08,-0.531279551,-0.273881883,1.47E-06,phylum_Actinobacteria vs phylum_Verrucomicrobia,-0.204479685,0.011506032,-0.353167822,-0.045716292,0.064634276,1
class_Actinobacteria vs class_Bacteroidia,-0.28507611,0.000215679,-0.420775358,-0.136898354,0.00229789,class_Actinobacteria vs class_Bacteroidia,-0.3287128,3.55E-05,-0.464504236,-0.17781877,0.000576808,2
class_Actinobacteria vs class_Clostridia,0.293969094,0.00013312,0.146410222,0.428730744,0.00152903,class_Actinobacteria vs class_Clostridia,0.073871022,0.365750744,-0.087425507,0.231393158,0.594801495,1
class_Actinobacteria vs class_Gammaproteobacteria,-0.256642197,0.000909167,-0.395198442,-0.106667916,0.00751051,class_Actinobacteria vs class_Gammaproteobacteria,-0.188022752,0.020357489,-0.33809648,-0.028623739,0.095496006,1
order_Bacteroidales vs order_Burkholderiales,0.320972079,2.78E-05,0.175460595,0.452759371,0.000408243,order_Bacteroidales vs order_Burkholderiales,0.401987425,2.85E-07,0.258370961,0.528219409,7.29E-06,2
order_Bacteroidales vs order_Coriobacteriales,-0.268827027,0.000500236,-0.406185328,-0.119588752,0.004534939,order_Bacteroidales vs order_Coriobacteriales,-0.299144872,0.000181286,-0.438389391,-0.145876891,0.002355173,2
order_Bacteroidales vs order_Lactobacillales,-0.297046058,0.000112233,-0.431478442,-0.149707685,0.001327292,order_Bacteroidales vs order_Lactobacillales,-0.211340197,0.008957853,-0.359428004,-0.05286934,0.055050959,1
family_Acidaminococcaceae vs family_Bacteroidaceae,-0.005862634,0.940608781,-0.15991353,0.148467036,0.96864861,family_Acidaminococcaceae vs family_Bacteroidaceae,0.290237652,0.00028657,0.136316754,0.430476046,0.003438841,1
family_Acidaminococcaceae vs family_Erysipelotrichaceae,-0.336808232,1.03E-05,-0.466762695,-0.192616161,0.000182067,family_Acidaminococcaceae vs family_Erysipelotrichaceae,-0.186487494,0.021424933,-0.336686546,-0.027033924,0.098725208,1
family_Acidaminococcaceae vs family_Rikenellaceae,0.06096802,0.438031599,-0.094112184,0.213159566,0.651688121,family_Acidaminococcaceae vs family_Rikenellaceae,0.256890524,0.001399256,0.100777995,0.40065713,0.012942405,1
family_Acidaminococcaceae vs family_Sutterellaceae,0.257449505,0.000874642,0.107522425,0.395927608,0.007251574,family_Acidaminococcaceae vs family_Sutterellaceae,0.244659236,0.002383388,0.087841945,0.389643067,0.019407588,2
family_Acidaminococcaceae vs family_Veillonellaceae,-0.203107029,0.009096929,-0.346452232,-0.050492919,0.048460277,family_Acidaminococcaceae vs family_Veillonellaceae,-0.218971399,0.006721244,-0.366375812,-0.06084509,0.04447637,2
family_Acidaminococcaceae vs family_unclassified_Clostridiales,-0.251293379,0.001171394,-0.390362936,-0.101011964,0.009210478,family_Acidaminococcaceae vs family_unclassified_Clostridiales,-0.094456333,0.247062973,-0.250919511,0.066816645,0.470098024,1
family_Acidaminococcaceae vs family_unclassified_Firmicutes,-0.138930318,0.07603308,-0.28697801,0.015599314,0.219159825,family_Acidaminococcaceae vs family_unclassified_Firmicutes,-0.346642274,1.22E-05,-0.480225624,-0.197343875,0.000228985,1
genus_Akkermansia vs genus_Clostridium.XVIII,-0.209015843,0.007231977,-0.351870754,-0.056646048,0.04081413,genus_Akkermansia vs genus_Clostridium.XVIII,-0.043930822,0.590988522,-0.202764799,0.117155528,0.773287707,1
genus_Akkermansia vs genus_Faecalibacterium,-0.182278496,0.019488393,-0.327275382,-0.028895182,0.083916026,genus_Akkermansia vs genus_Faecalibacterium,-0.287255621,0.000332946,-0.427821927,-0.133122527,0.003882951,1
genus_Akkermansia vs genus_Roseburia,-0.20953936,0.007084418,-0.35235037,-0.057191771,0.04018028,genus_Akkermansia vs genus_Roseburia,-0.040317952,0.62189221,-0.199291771,0.12072362,0.795687003,1
genus_Akkermansia vs genus_unclassified_Clostridiales,0.067480387,0.390594428,-0.087626842,0.219393022,0.603152926,genus_Akkermansia vs genus_unclassified_Clostridiales,0.215302301,0.007725689,0.057007811,0.363037342,0.04920271,1
genus_Alistipes vs genus_Bacteroides,0.298036599,0.000106189,0.150769907,0.432362454,0.001277628,genus_Alistipes vs genus_Bacteroides,0.425238507,4.74E-08,0.284355639,0.548144341,1.40E-06,2
genus_Alistipes vs genus_Bilophila,-0.091062709,0.246186042,-0.24186207,0.064031848,0.45653044,genus_Alistipes vs genus_Bilophila,-0.21957518,0.006567586,-0.366924822,-0.061476995,0.043848013,1
genus_Alistipes vs genus_Butyricimonas,0.277464856,0.000321916,0.12877906,0.413949953,0.00311879,genus_Alistipes vs genus_Butyricimonas,0.153150722,0.059604151,-0.007289724,0.305904087,0.195114807,1
genus_Alistipes vs genus_Clostridium.XI,-0.203545542,0.008945181,-0.346854688,-0.050949166,0.047875615,genus_Alistipes vs genus_Clostridium.XI,-0.18362649,0.023543266,-0.334057291,-0.024073402,0.105149161,1
genus_Alistipes vs genus_Clostridium.XVIII,-0.054865767,0.485317145,-0.207307392,0.100177194,0.690282651,genus_Alistipes vs genus_Clostridium.XVIII,-0.249779306,0.00191305,-0.394258653,-0.093250602,0.016206682,1
genus_Alistipes vs genus_Clostridium.XlVa,-0.11996837,0.125985745,-0.2691843,0.034872172,0.303323651,genus_Alistipes vs genus_Clostridium.XlVa,-0.372198597,2.34E-06,-0.502487206,-0.225380838,5.25E-05,1
genus_Alistipes vs genus_Clostridium.XlVb,0.133477475,0.08839898,-0.021153352,0.281871558,0.244029409,genus_Alistipes vs genus_Clostridium.XlVb,-0.343705585,1.46E-05,-0.477656465,-0.194137704,0.000269782,1
genus_Alistipes vs genus_Clostridium.sensu.stricto,-0.206600282,0.007948815,-0.349656784,-0.054129211,0.043723278,genus_Alistipes vs genus_Clostridium.sensu.stricto,-0.117726322,0.14860565,-0.272840173,0.043353148,0.345559287,1
genus_Alistipes vs genus_Collinsella,-0.155844908,0.04629257,-0.302764753,-0.001690065,0.155216265,genus_Alistipes vs genus_Collinsella,-0.265433847,0.000949888,-0.408325676,-0.109844999,0.00935527,1
genus_Alistipes vs genus_Faecalibacterium,0.062324604,0.427888156,-0.092762315,0.214459072,0.639308648,genus_Alistipes vs genus_Faecalibacterium,0.272551568,0.000681167,0.117418842,0.414699227,0.007156959,1
genus_Alistipes vs genus_Holdemania,-0.13755622,0.079009119,-0.285691994,0.016999812,0.22588187,genus_Alistipes vs genus_Holdemania,-0.255950675,0.001459036,-0.399812283,-0.099782116,0.013359851,1
genus_Alistipes vs genus_Odoribacter,0.393500301,1.86E-07,0.254762823,0.516364827,5.18E-06,genus_Alistipes vs genus_Odoribacter,0.514663917,1.18E-11,0.386261564,0.623498752,4.84E-10,2
genus_Alistipes vs genus_Oscillibacter,0.232567089,0.002728902,0.081286635,0.373373092,0.018740652,genus_Alistipes vs genus_Oscillibacter,0.329777754,3.34E-05,0.178975189,0.465440434,0.000544118,2
genus_Alistipes vs genus_Parabacteroides,0.261513997,0.000718407,0.11182792,0.399596035,0.006192691,genus_Alistipes vs genus_Parabacteroides,0.528036904,2.73E-12,0.401775203,0.634596349,1.13E-10,2
